"Navigate","&Quick Cross References","Shift+Alt+P","Editing Java Source"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+1","Editing Text"
"Text Editing","Backward Paragraph","Shift+Alt+[","Editing Text"
"Run/Debug","Run to Line","Ctrl+C Ctrl+U","Debugging"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Emacs+ News","Ctrl+Z N","Editing Text"
"File","Close","Ctrl+X K","In Windows"
"File","New (File)","Ctrl+C P F","In Windows"
"Text Editing","Previous Line","Shift+Ctrl+P","Editing Text"
"Text Editing","Scroll Up","Shift+Ctrl+V","Editing Text"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Refactor - Java","Extract Class...","Ctrl+C P X C","In Windows"
"Text Editing","Search in Project","Alt+S","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Text Editing","Scroll Other Window","Alt+PageDown","Editing Text"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Step Over","Ctrl+X Ctrl+A Ctrl+N","Debugging"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Yank Pop","Esc Y","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Refactor - Java","Extract Superclass","Ctrl+C P X S","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Text Editing","Scroll Down","Shift+Alt+V","Editing Text"
"gazonk.del","Cut","Ctrl+W","In Console View"
"Text Editing","Split Line","Ctrl+Alt+O","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Text Editing","Insert Register","Ctrl+X R I","Editing Text"
"Text Editing","Goto Line","Alt+G","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","Universal Argument","Ctrl+6","Editing Text"
"Navigate","Open Type in Hierarchy","Ctrl+X O T","In Windows"
"Text Editing","Query Replace Regexp","Ctrl+Alt+%","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
